slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
reading-pa,429989,3.2,77684,Education & health care,23.4,Manufacturing,17.8,Retail trade,11.7,Professional & management,9.5,"Arts, food & hospitality",7.0
corpus-christi-tx,446797,-1.2,65801,Education & health care,24.1,Retail trade,12.3,Construction,10.4,"Arts, food & hospitality",9.9,Professional & management,9.2
brownsville-tx,423192,0.3,51334,Education & health care,31.5,Retail trade,11.4,Professional & management,8.9,"Arts, food & hospitality",8.3,Construction,7.5
manchester-nh,424732,3.3,100436,Education & health care,22.9,Manufacturing,14.5,Professional & management,13.4,Retail trade,12.3,Construction,7.3
fort-wayne-in,451440,4.6,69378,Education & health care,24.2,Manufacturing,19.7,Retail trade,11.7,Professional & management,7.8,"Arts, food & hospitality",7.3
gulfport-ms,418452,6.9,61266,Education & health care,24.1,"Arts, food & hospitality",13.7,Retail trade,10.7,Manufacturing,10.0,Construction,8.0
salisbury-md,128802,-67.7,69592,Education & health care,28.1,Retail trade,11.7,"Arts, food & hospitality",11.1,Manufacturing,9.8,Professional & management,7.8
flint-mi,404087,-1.3,60673,Education & health care,23.7,Manufacturing,17.5,Retail trade,13.2,Professional & management,8.9,"Arts, food & hospitality",8.7
peoria-il,365773,-2.3,70872,Education & health care,27.5,Manufacturing,14.8,Retail trade,10.5,Professional & management,9.1,"Arts, food & hospitality",8.7
canton-oh,400495,-0.1,65666,Education & health care,23.5,Manufacturing,16.9,Retail trade,12.1,"Arts, food & hospitality",8.8,Professional & management,8.5
savannah-ga,412089,8.0,74632,Education & health care,21.8,Retail trade,12.4,Professional & management,11.3,"Arts, food & hospitality",11.3,Manufacturing,10.0
anchorage-ak,399746,0.0,95918,Education & health care,24.3,Retail trade,10.8,Professional & management,10.0,Public administration,9.8,Transportation & utilities,9.6
beaumont-tx,396058,-3.3,65245,Education & health care,21.5,Manufacturing,13.1,Construction,12.0,Retail trade,11.0,Professional & management,9.2
shreveport-la,389004,-11.9,54635,Education & health care,27.0,Retail trade,11.6,"Arts, food & hospitality",9.8,Professional & management,9.2,Manufacturing,6.3
trenton-nj,383286,3.9,96333,Education & health care,26.7,Professional & management,14.9,Retail trade,8.9,"Finance, insurance & real estate",8.0,Manufacturing,7.6
montgomery-al,385159,3.1,62746,Education & health care,21.8,Manufacturing,12.3,Retail trade,11.3,Public administration,10.7,Professional & management,10.3
